"","station_id","stationname","daytype","rides","date"
"305",40390,"Forest Park","W",3412,2017-12-13
"429",40390,"Forest Park","W",3182,2017-12-21
"499",40390,"Forest Park","W",3427,2017-12-14
"558",40390,"Forest Park","W",3564,2017-12-05
"588",40390,"Forest Park","A",1417,2017-12-23
"600",40390,"Forest Park","W",3188,2017-12-15
"717",40390,"Forest Park","A",1565,2017-12-16
"723",40390,"Forest Park","A",1835,2017-12-09
"870",40390,"Forest Park","W",3253,2017-12-11
"951",40390,"Forest Park","U",1122,2017-12-10
"1335",40390,"Forest Park","W",3310,2017-12-12
"1461",40390,"Forest Park","W",2180,2017-12-28
"1945",40390,"Forest Park","W",2302,2017-12-29
"2221",40390,"Forest Park","U",997,2017-12-24
"2345",40390,"Forest Park","U",632,2017-12-25
"2548",40390,"Forest Park","A",1620,2017-12-02
"2675",40390,"Forest Park","W",3504,2017-12-07
"2759",40390,"Forest Park","W",3201,2017-12-20
"2798",40390,"Forest Park","W",3103,2017-12-18
"2840",40390,"Forest Park","A",1073,2017-12-30
"2889",40390,"Forest Park","W",2766,2017-12-22
"3040",40390,"Forest Park","W",3418,2017-12-08
"3433",40390,"Forest Park","W",3252,2017-12-19
"3596",40390,"Forest Park","W",2101,2017-12-27
"3607",40390,"Forest Park","W",1800,2017-12-26
"3681",40390,"Forest Park","U",1312,2017-12-03
"3763",40390,"Forest Park","W",3662,2017-12-01
"3922",40390,"Forest Park","U",1075,2017-12-31
"4130",40390,"Forest Park","W",3578,2017-12-04
"4279",40390,"Forest Park","W",3533,2017-12-06
"4477",40390,"Forest Park","U",1237,2017-12-17
"4625",40390,"Forest Park","W",3353,2018-03-01
"4631",40390,"Forest Park","A",1400,2018-03-10
"5087",40390,"Forest Park","W",3163,2018-01-10
"5116",40390,"Forest Park","W",3307,2018-03-08
"5130",40390,"Forest Park","A",1420,2018-03-31
"5581",40390,"Forest Park","W",3340,2018-03-20
"5848",40390,"Forest Park","U",1099,2018-03-18
"6132",40390,"Forest Park","W",3237,2018-03-16
"6184",40390,"Forest Park","W",3345,2018-01-31
"6276",40390,"Forest Park","W",2983,2018-03-26
"6526",40390,"Forest Park","W",2523,2018-01-05
"6850",40390,"Forest Park","W",2275,2018-01-02
"6908",40390,"Forest Park","W",3202,2018-03-28
"6989",40390,"Forest Park","W",3373,2018-03-07
"7039",40390,"Forest Park","A",1172,2018-02-03
"7320",40390,"Forest Park","W",2946,2018-02-12
"7332",40390,"Forest Park","U",1059,2018-01-14
"7434",40390,"Forest Park","W",3235,2018-01-26
