"","station_id","stationname","daytype","rides","date"
"75",40350,"UIC-Halsted","W",7462,2017-12-08
"114",40350,"UIC-Halsted","A",837,2017-12-30
"398",40350,"UIC-Halsted","W",5828,2017-12-13
"569",40350,"UIC-Halsted","W",5614,2017-12-11
"579",40350,"UIC-Halsted","W",3072,2017-12-20
"760",40350,"UIC-Halsted","W",7718,2017-12-01
"959",40350,"UIC-Halsted","W",1575,2017-12-28
"1031",40350,"UIC-Halsted","W",7800,2017-12-04
"1187",40350,"UIC-Halsted","W",3306,2017-12-19
"1376",40350,"UIC-Halsted","W",7813,2017-12-06
"1471",40350,"UIC-Halsted","W",1472,2017-12-29
"1493",40350,"UIC-Halsted","U",1321,2017-12-17
"1567",40350,"UIC-Halsted","U",369,2017-12-25
"1852",40350,"UIC-Halsted","W",5217,2017-12-15
"1894",40350,"UIC-Halsted","W",1347,2017-12-27
"2054",40350,"UIC-Halsted","W",7731,2017-12-05
"2326",40350,"UIC-Halsted","A",2340,2017-12-02
"2534",40350,"UIC-Halsted","U",800,2017-12-31
"2884",40350,"UIC-Halsted","W",5493,2017-12-14
"2975",40350,"UIC-Halsted","A",1947,2017-12-09
"2996",40350,"UIC-Halsted","W",2334,2017-12-22
"3006",40350,"UIC-Halsted","U",659,2017-12-24
"3374",40350,"UIC-Halsted","W",7661,2017-12-07
"3486",40350,"UIC-Halsted","W",3216,2017-12-18
"3646",40350,"UIC-Halsted","A",1915,2017-12-16
"4074",40350,"UIC-Halsted","W",5553,2017-12-12
"4188",40350,"UIC-Halsted","W",1019,2017-12-26
"4191",40350,"UIC-Halsted","A",997,2017-12-23
"4225",40350,"UIC-Halsted","U",1285,2017-12-10
"4242",40350,"UIC-Halsted","W",2718,2017-12-21
"4423",40350,"UIC-Halsted","U",1645,2017-12-03
"4610",40350,"UIC-Halsted","W",7467,2018-03-07
"4645",40350,"UIC-Halsted","U",1085,2018-02-04
"4694",40350,"UIC-Halsted","W",7493,2018-02-13
"4842",40350,"UIC-Halsted","U",1397,2018-03-04
"5089",40350,"UIC-Halsted","W",7258,2018-03-08
"5186",40350,"UIC-Halsted","W",6829,2018-02-02
"5329",40350,"UIC-Halsted","A",2216,2018-01-20
"5465",40350,"UIC-Halsted","W",2800,2018-01-08
"5468",40350,"UIC-Halsted","W",6685,2018-03-23
"5499",40350,"UIC-Halsted","W",7501,2018-02-28
"5552",40350,"UIC-Halsted","W",7118,2018-03-01
"5948",40350,"UIC-Halsted","U",1376,2018-03-11
"6046",40350,"UIC-Halsted","W",7420,2018-01-18
"6155",40350,"UIC-Halsted","A",2185,2018-02-24
"6162",40350,"UIC-Halsted","W",7017,2018-03-20
"6252",40350,"UIC-Halsted","W",7634,2018-02-21
"6330",40350,"UIC-Halsted","W",3168,2018-01-10
"6744",40350,"UIC-Halsted","W",2249,2018-01-03
"6752",40350,"UIC-Halsted","U",1430,2018-03-25
"6793",40350,"UIC-Halsted","W",7067,2018-03-19
"6808",40350,"UIC-Halsted","U",1218,2018-01-14
"6827",40350,"UIC-Halsted","W",6909,2018-03-09
"6869",40350,"UIC-Halsted","A",1769,2018-02-03
"7083",40350,"UIC-Halsted","W",3640,2018-02-09
"7183",40350,"UIC-Halsted","W",7505,2018-01-22
"7504",40350,"UIC-Halsted","W",7203,2018-02-20
"7520",40350,"UIC-Halsted","A",2061,2018-03-10
"7679",40350,"UIC-Halsted","W",3200,2018-03-27
"7712",40350,"UIC-Halsted","W",2701,2018-03-30
"7848",40350,"UIC-Halsted","W",7505,2018-01-25
"7859",40350,"UIC-Halsted","W",7260,2018-03-12
"8525",40350,"UIC-Halsted","A",3027,2018-03-17
"8632",40350,"UIC-Halsted","W",3198,2018-03-28
"8648",40350,"UIC-Halsted","U",1362,2018-02-18
"9131",40350,"UIC-Halsted","U",1532,2018-03-18
"9695",40350,"UIC-Halsted","W",6982,2018-02-05
"9747",40350,"UIC-Halsted","W",7342,2018-02-08
"10097",40350,"UIC-Halsted","W",6488,2018-02-19
"10305",40350,"UIC-Halsted","W",3085,2018-03-29
"10476",40350,"UIC-Halsted","W",2004,2018-01-15
"10536",40350,"UIC-Halsted","W",7000,2018-03-22
"10853",40350,"UIC-Halsted","A",1361,2018-01-13
"10936",40350,"UIC-Halsted","W",7324,2018-01-30
"11497",40350,"UIC-Halsted","W",7438,2018-02-07
"11698",40350,"UIC-Halsted","W",7476,2018-01-16
"11767",40350,"UIC-Halsted","W",7412,2018-02-15
"11919",40350,"UIC-Halsted","W",7270,2018-03-21
"11955",40350,"UIC-Halsted","U",763,2018-01-07
"12168",40350,"UIC-Halsted","W",7054,2018-03-05
"12193",40350,"UIC-Halsted","A",1978,2018-03-03
"12226",40350,"UIC-Halsted","A",1399,2018-03-31
"12230",40350,"UIC-Halsted","W",7382,2018-02-01
"12330",40350,"UIC-Halsted","U",1293,2018-01-21
"12348",40350,"UIC-Halsted","W",7328,2018-02-22
"12817",40350,"UIC-Halsted","W",7881,2018-02-14
"13125",40350,"UIC-Halsted","W",7326,2018-03-15
"13244",40350,"UIC-Halsted","W",7550,2018-03-14
"13412",40350,"UIC-Halsted","W",7193,2018-02-26
"13650",40350,"UIC-Halsted","W",7355,2018-01-26
"13712",40350,"UIC-Halsted","W",7508,2018-01-23
"13790",40350,"UIC-Halsted","U",1468,2018-02-25
"13918",40350,"UIC-Halsted","W",7328,2018-02-12
"14192",40350,"UIC-Halsted","A",1861,2018-02-10
"14451",40350,"UIC-Halsted","W",6799,2018-03-02
"14726",40350,"UIC-Halsted","W",3019,2018-01-09
"14844",40350,"UIC-Halsted","W",7299,2018-03-13
"14948",40350,"UIC-Halsted","A",1976,2018-02-17
"15138",40350,"UIC-Halsted","W",7262,2018-02-27
"15145",40350,"UIC-Halsted","W",2845,2018-01-12
"15235",40350,"UIC-Halsted","W",7036,2018-02-23
"15260",40350,"UIC-Halsted","U",1276,2018-01-28
"15299",40350,"UIC-Halsted","W",7657,2018-01-31
"15336",40350,"UIC-Halsted","W",7366,2018-01-29
"15359",40350,"UIC-Halsted","W",7238,2018-01-19
"15431",40350,"UIC-Halsted","W",2293,2018-01-04
"15461",40350,"UIC-Halsted","A",1921,2018-03-24
"15466",40350,"UIC-Halsted","W",1936,2018-01-02
"15491",40350,"UIC-Halsted","A",2073,2018-01-27
"15545",40350,"UIC-Halsted","W",2209,2018-01-05
"15693",40350,"UIC-Halsted","W",7635,2018-01-17
"15822",40350,"UIC-Halsted","W",3007,2018-03-26
"16254",40350,"UIC-Halsted","U",1231,2018-02-11
"16326",40350,"UIC-Halsted","W",7166,2018-03-16
"16358",40350,"UIC-Halsted","W",7222,2018-03-06
"16415",40350,"UIC-Halsted","W",7619,2018-01-24
"16520",40350,"UIC-Halsted","U",657,2018-01-01
"17096",40350,"UIC-Halsted","A",998,2018-01-06
"17333",40350,"UIC-Halsted","W",7284,2018-02-16
"17394",40350,"UIC-Halsted","W",7290,2018-02-06
"17488",40350,"UIC-Halsted","W",3024,2018-01-11
"17599",40350,"UIC-Halsted","W",7331,2018-04-25
"17888",40350,"UIC-Halsted","U",1094,2018-05-20
"18078",40350,"UIC-Halsted","W",3195,2018-06-04
"18108",40350,"UIC-Halsted","W",7308,2018-04-11
"18357",40350,"UIC-Halsted","W",7150,2018-04-12
"18377",40350,"UIC-Halsted","W",3480,2018-06-21
"18506",40350,"UIC-Halsted","W",3089,2018-05-18
"18538",40350,"UIC-Halsted","W",7052,2018-04-24
"18613",40350,"UIC-Halsted","W",6692,2018-04-06
"18647",40350,"UIC-Halsted","W",3990,2018-06-27
"18828",40350,"UIC-Halsted","W",3605,2018-06-08
"18896",40350,"UIC-Halsted","W",7153,2018-04-04
