"","station_id","stationname","daytype","rides","date"
"61",40890,"O'Hare Airport","W",11094,2017-12-26
"539",40890,"O'Hare Airport","W",12447,2017-12-01
"672",40890,"O'Hare Airport","W",10136,2017-12-11
"858",40890,"O'Hare Airport","W",9406,2017-12-12
"1063",40890,"O'Hare Airport","U",7244,2017-12-25
"1278",40890,"O'Hare Airport","W",10813,2017-12-18
"1356",40890,"O'Hare Airport","W",10562,2017-12-29
"1544",40890,"O'Hare Airport","W",9493,2017-12-22
"1705",40890,"O'Hare Airport","U",7361,2017-12-31
"1954",40890,"O'Hare Airport","A",8450,2017-12-16
"1994",40890,"O'Hare Airport","U",8994,2017-12-10
"2104",40890,"O'Hare Airport","W",10554,2017-12-07
"2122",40890,"O'Hare Airport","U",6777,2017-12-24
"2369",40890,"O'Hare Airport","W",11057,2017-12-15
"2426",40890,"O'Hare Airport","U",9308,2017-12-03
"2691",40890,"O'Hare Airport","W",10193,2017-12-19
"2938",40890,"O'Hare Airport","W",11154,2017-12-27
"3035",40890,"O'Hare Airport","A",8542,2017-12-02
"3211",40890,"O'Hare Airport","W",9540,2017-12-06
"3250",40890,"O'Hare Airport","W",11141,2017-12-28
"3666",40890,"O'Hare Airport","U",9018,2017-12-17
"3709",40890,"O'Hare Airport","W",10629,2017-12-14
"3716",40890,"O'Hare Airport","A",8847,2017-12-30
"3737",40890,"O'Hare Airport","W",9558,2017-12-21
"3805",40890,"O'Hare Airport","W",9306,2017-12-13
"3824",40890,"O'Hare Airport","W",9785,2017-12-04
"3859",40890,"O'Hare Airport","W",9799,2017-12-20
"3958",40890,"O'Hare Airport","A",8033,2017-12-09
"3969",40890,"O'Hare Airport","W",11875,2017-12-08
"4335",40890,"O'Hare Airport","A",7578,2017-12-23
"4395",40890,"O'Hare Airport","W",9669,2017-12-05
"4677",40890,"O'Hare Airport","W",10017,2018-02-20
"4744",40890,"O'Hare Airport","W",10836,2018-03-22
"4846",40890,"O'Hare Airport","W",10298,2018-03-28
"5090",40890,"O'Hare Airport","W",8264,2018-01-12
